# FC0_ReLU (shape [32]),\
38.000,\
43.000,\
0.000,\
0.000,\
0.000,\
0.000,\
7.000,\
29.000,\
71.000,\
39.000,\
62.000,\
15.000,\
46.000,\
68.000,\
32.000,\
24.000,\
28.000,\
25.000,\
10.000,\
0.000,\
40.000,\
40.000,\
3.000,\
60.000,\
36.000,\
60.000,\
51.000,\
1.000,\
38.000,\
92.000,\
8.000,\
57.000,\
