,0
0,96.0
1,119.0
2,110.0
3,213.0
4,0.0
5,0.0
6,206.0
7,0.0
8,148.0
9,30.0
10,46.0
11,128.0
12,46.0
13,245.0
14,0.0
15,242.0
16,97.0
17,0.0
18,0.0
19,0.0
20,0.0
21,37.0
22,0.0
23,252.0
24,223.0
25,233.0
26,30.0
27,0.0
28,204.0
29,71.0
30,115.0
31,0.0
32,218.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,106.0
42,0.0
43,241.0
44,64.0
45,166.0
46,0.0
47,51.0
48,0.0
49,188.0
50,116.0
51,0.0
52,118.0
53,2.0
54,0.0
55,61.0
56,0.0
57,147.0
58,47.0
59,0.0
60,0.0
61,37.0
62,66.0
63,108.0
64,249.0
65,0.0
66,0.0
67,0.0
68,0.0
69,37.0
70,48.0
71,242.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,194.0
80,174.0
81,207.0
82,0.0
83,168.0
84,0.0
85,218.0
86,182.0
87,0.0
88,24.0
89,0.0
90,212.0
91,15.0
92,0.0
93,0.0
94,0.0
95,0.0
96,221.0
97,163.0
98,0.0
99,136.0
100,169.0
101,0.0
102,0.0
103,145.0
104,0.0
105,0.0
106,0.0
107,242.0
108,200.0
109,29.0
110,0.0
111,133.0
112,63.0
113,0.0
114,50.0
115,7.0
116,22.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,228.0
126,179.0
127,140.0
128,16.0
129,202.0
130,43.0
131,48.0
132,0.0
133,150.0
134,0.0
135,0.0
136,0.0
137,80.0
138,248.0
139,0.0
140,105.0
141,42.0
142,0.0
143,0.0
144,213.0
145,76.0
146,148.0
147,0.0
148,103.0
149,141.0
150,127.0
151,229.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,3.0
158,0.0
159,0.0
160,0.0
161,26.0
162,0.0
163,0.0
164,0.0
165,102.0
166,0.0
167,0.0
168,66.0
169,206.0
170,35.0
171,123.0
172,89.0
173,178.0
174,217.0
175,169.0
176,0.0
177,177.0
178,180.0
179,32.0
180,0.0
181,82.0
182,0.0
183,181.0
184,14.0
185,0.0
186,48.0
187,0.0
188,248.0
189,0.0
190,164.0
191,243.0
192,0.0
193,0.0
194,253.0
195,76.0
196,15.0
197,132.0
198,0.0
199,250.0
200,0.0
201,176.0
202,247.0
203,127.0
204,66.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,251.0
212,241.0
213,135.0
214,193.0
215,0.0
216,212.0
217,222.0
218,179.0
219,52.0
220,0.0
221,84.0
222,125.0
223,82.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,93.0
230,0.0
231,0.0
232,255.0
233,9.0
234,175.0
235,0.0
236,5.0
237,148.0
238,149.0
239,204.0
240,0.0
241,0.0
242,6.0
243,0.0
244,249.0
245,60.0
246,185.0
247,0.0
248,252.0
249,0.0
250,43.0
251,83.0
252,0.0
253,153.0
254,0.0
255,155.0
256,27.0
257,34.0
258,0.0
259,113.0
260,0.0
261,158.0
262,163.0
263,150.0
264,174.0
265,0.0
266,0.0
267,0.0
268,216.0
269,0.0
270,76.0
271,0.0
272,108.0
273,251.0
274,124.0
275,0.0
276,0.0
277,95.0
278,50.0
279,0.0
280,0.0
281,0.0
282,35.0
283,103.0
